country dpm70 dpm75 dpm70ln dpm75ln nspm70 nspm75 nspm70ln nspm75ln regrep regrepsq l glc alf70 glc1 t20apsr semirrg psepd75 pval6872 pval7377 ecpc70 ecpc70ln landless agineq
"Spain" 0.27 4.29 0.24 1.67 3.55 16.11 1.52 2.84 5.00 25.00 0.37 0.80 26.00 80 42.20 1 1 0.24 1.67 1485 7.30 9.62 45.61
"Portugal" 0.23 4.34 0.21 1.67 4.75 35.49 1.75 3.60 4.20 17.64 0.22 0.81 33.30 81 49.10 1 0 0.21 1.67 702 6.55 7.33 51.94
"West Germany" 0.54 0.29 0.43 0.26 0.86 2.55 0.62 1.27 1.00 1.00 0.08 0.51 7.50 51 45.50 0 0 0.43 0.26 5235 8.56 0.60 19.56
"East Germany" 0.00 0.00 0.00 0.00 3.17 1.58 1.43 0.95 7.00 49.00 NA NA 13.00 NA 30.70 0 0 0.00 0.00 5983 8.70 NA NA
"Poland" 0.62 0.06 0.48 0.06 2.28 0.44 1.19 0.37 6.00 36.00 0.13 0.46 39.00 46 NA 0 0 0.48 0.06 4278 8.36 5.07 42.36
"Austria" 0.27 0.27 0.24 0.24 0.67 0.80 0.51 0.59 1.00 1.00 0.24 0.70 14.80 70 NA 0 0 0.24 0.24 3397 8.13 3.55 32.19
"Hungary" 0.10 0.00 0.09 0.00 0.48 0.19 0.39 0.17 6.00 36.00 NA NA 25.00 NA 33.40 0 0 0.09 0.00 3184 8.07 NA NA
"Czechoslavakia" 1.88 0.00 1.06 0.00 11.86 2.64 2.55 1.29 6.80 46.24 NA NA 16.90 NA NA 0 0 1.06 0.00 6507 8.78 NA NA
"Italy" 0.69 2.05 0.53 1.12 1.18 1.73 0.78 1.00 1.50 2.25 0.21 0.75 18.80 75 45.20 0 0 0.53 1.12 2689 7.90 3.95 37.55
"Malta" 0.00 0.00 0.00 0.00 3.07 0.00 1.40 0.00 1.20 1.44 NA 0.53 6.90 53 NA 0 0 0.00 0.00 951 6.86 NA 19.12
"Albania" 0.00 0.00 0.00 0.00 0.00 0.40 0.00 0.34 7.00 49.00 NA NA 66.30 NA NA 0 0 0.00 0.00 618 6.43 NA NA
"Yugoslavia" 1.13 0.00 0.76 0.00 1.91 1.97 1.07 1.09 6.00 36.00 0.07 0.56 49.80 56 40.80 0 0 0.76 0.00 1438 7.27 3.49 52.81
"Greece" 0.34 3.36 0.29 1.47 22.40 32.25 3.15 3.50 3.60 12.96 0.09 0.48 46.00 48 NA 1 0 0.29 1.47 1273 7.15 4.14 46.99
"Cyprus" 9.48 1380.39 2.35 7.23 20.54 50.52 3.07 3.94 3.30 10.89 NA NA 38.60 NA NA 1 1 2.35 3.93 1327 7.19 NA NA
"Bulgaria" 0.00 0.00 0.00 0.00 0.71 0.11 0.53 0.11 7.00 49.00 NA NA 46.60 NA NA 0 0 0.00 0.00 3936 8.28 NA NA
"Rumania" 0.00 0.00 0.00 0.00 0.15 0.42 0.14 0.35 6.50 42.25 NA NA 56.00 NA NA 0 1 0.00 0.00 2884 7.97 NA NA
"Soviet Union" 0.02 0.03 0.02 0.03 0.73 1.02 0.55 0.70 6.20 38.44 NA NA 25.70 NA NA 0 0 0.02 0.03 4344 8.38 NA NA
"Finland" 0.00 0.00 0.00 0.00 0.00 0.86 0.00 0.62 2.00 4.00 0.06 0.25 21.30 25 36.80 0 0 0.00 0.00 4162 8.33 1.28 23.08
"Sweden" 0.25 0.48 0.22 0.39 0.50 1.21 0.40 0.79 1.10 1.21 0.11 0.23 8.30 23 37.00 0 0 0.22 0.39 6183 8.73 0.91 13.82
"Norway" 0.00 0.25 0.00 0.22 0.26 1.75 0.23 1.01 1.00 1.00 0.06 0.30 11.90 30 37.30 0 0 0.00 0.22 4823 8.48 0.71 18.89
"Denmark" 0.00 0.00 0.00 0.00 0.61 0.80 0.48 0.59 1.00 1.00 0.18 0.43 11.10 43 37.50 0 0 0.00 0.00 5835 8.67 2.00 21.85
"Iceland" 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 NA NA 18.00 NA NA 0 0 0.00 0.00 4167 8.33 NA NA
"Gambia" 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 4.00 NA NA 81.90 NA NA 0 0 0.00 0.00 43 3.76 NA NA
"Mali" 0.00 0.00 0.00 0.00 0.79 0.35 0.58 0.30 6.70 44.89 NA 0.48 91.00 48 NA 0 0 0.00 0.00 20 3.00 NA 66.09
"Senegal" 0.25 0.00 0.23 0.00 2.04 0.91 1.11 0.64 5.50 30.25 NA NA 79.70 NA NA 1 0 0.23 0.00 138 4.93 NA NA
"Benin" 2.61 1.95 1.28 1.08 5.58 1.30 1.88 0.83 6.50 42.25 NA NA 49.70 NA NA 0 0 1.28 1.08 37 3.61 NA NA
"Mauritania" 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.90 34.81 NA NA 87.50 NA NA 0 0 0.00 0.00 138 4.93 NA NA
"Niger" 0.00 0.22 0.00 0.20 0.00 1.09 0.00 0.74 6.30 39.69 NA NA 92.80 NA NA 0 0 0.00 0.20 17 2.83 NA NA
"Ivory Coast" 0.00 0.00 0.00 0.00 0.23 0.20 0.21 0.19 5.80 33.64 NA 0.42 84.50 42 57.20 0 0 0.00 0.00 232 5.45 NA 59.57
"Guinea" 0.26 0.23 0.23 0.20 1.79 0.45 1.02 0.37 7.00 49.00 NA NA 84.70 NA NA 0 0 0.23 0.20 97 4.57 NA NA
"Burkina Faso" 0.00 0.00 0.00 0.00 0.19 0.17 0.17 0.15 4.40 19.36 NA NA 86.80 NA NA 1 0 0.00 0.00 13 2.56 NA NA
"Liberia" 0.00 0.00 0.00 0.00 2.63 2.34 1.29 1.21 5.20 27.04 NA 0.73 75.60 73 NA 1 0 0.00 0.00 328 5.79 NA 74.29
"Sierre Leone" 1.51 2.35 0.92 1.21 2.65 1.34 1.29 0.85 5.30 28.09 0.24 0.43 71.50 43 52.50 1 0 0.92 1.21 140 4.94 17.16 55.45
"Ghana" 3.01 0.10 1.39 0.10 2.55 0.91 1.27 0.65 6.10 37.21 0.25 0.55 58.40 55 47.80 0 1 1.39 0.10 170 5.14 14.60 56.67
"Togo" 0.00 0.00 0.00 0.00 0.51 0.00 0.41 0.00 6.30 39.69 0.06 0.52 73.30 52 NA 0 0 0.00 0.00 61 4.11 4.40 61.74
"Cameroon" 0.69 0.00 0.52 0.00 0.17 0.00 0.16 0.00 5.20 27.04 NA 0.42 84.60 42 NA 1 0 0.52 0.00 91 4.51 NA 59.61
"Nigeria" 36061.26 0.70 10.49 0.53 0.51 0.40 0.41 0.33 5.10 26.01 0.10 NA 62.10 NA NA 1 1 3.93 0.53 46 3.83 6.21 NA
"Gabon" 0.00 0.00 0.00 0.00 0.00 1.92 0.00 1.07 6.00 36.00 NA 0.41 81.40 41 67.50 0 0 0.00 0.00 880 6.78 NA 57.77
"Central African Rep" 0.00 0.00 0.00 0.00 1.24 2.23 0.81 1.17 7.00 49.00 0.07 0.34 91.30 34 NA 0 0 0.00 0.00 62 4.13 6.39 55.72
"Chad" 542.03 53.71 6.30 4.00 1.10 1.27 0.74 0.82 6.50 42.25 0.04 0.34 90.10 34 NA 0 1 3.93 3.93 25 3.22 3.60 55.35
"Congo" 393.79 29.00 5.98 3.40 6.72 3.72 2.04 1.55 5.80 33.64 0.07 0.27 41.80 27 NA 0 0 3.93 3.40 176 5.17 2.93 33.59
"Zaire" 0.69 4.09 0.53 1.63 0.42 0.25 0.35 0.22 6.60 43.56 0.16 0.57 79.30 57 NA 0 1 0.53 1.63 81 4.39 12.69 67.23
"Uganda" 303.39 2092.57 5.72 7.65 2.04 1.06 1.11 0.72 7.00 49.00 NA NA 85.90 NA NA 0 1 3.93 3.93 71 4.26 NA NA
"Kenya" 1.69 3.47 0.99 1.50 1.07 0.75 0.73 0.56 4.70 22.09 0.15 0.67 82.10 67 60.40 1 0 0.99 1.50 149 5.00 12.32 74.17
"Tanzania" 0.68 0.00 0.52 0.00 0.53 0.13 0.42 0.12 6.00 36.00 NA 0.45 86.00 45 50.40 0 0 0.52 0.00 61 4.11 NA 62.21
"Burundi" 24404.18 0.00 10.10 0.00 1.19 0.27 0.79 0.24 6.80 46.24 NA NA 87.20 NA NA 0 0 3.93 0.00 9 2.20 NA NA
"Rwanda" 0.00 2.83 0.00 1.34 0.00 0.24 0.00 0.21 6.20 38.44 NA NA 93.20 NA NA 0 0 0.00 1.34 11 2.40 NA NA
"Somalia" 1.08 0.00 0.73 0.00 2.87 0.32 1.35 0.27 6.60 43.56 NA NA 84.70 NA NA 0 0 0.73 0.00 36 3.58 NA NA
"Ethiopia" 1.17 1171.15 0.77 7.07 0.32 1.28 0.28 0.82 5.90 34.81 NA NA 84.10 NA NA 0 1 0.77 3.93 33 3.50 NA NA
"Angola" 69.14 1366.75 4.25 7.22 0.53 2.50 0.42 1.25 0.00 0.00 NA NA 63.70 NA NA 0 0 NA NA 152 5.02 NA NA
"Mozambique" 231.72 121.33 5.45 4.81 0.36 0.54 0.31 0.43 0.00 0.00 NA NA 73.50 NA NA 0 0 NA NA 136 4.91 NA NA
"Zambia" 0.23 2.80 0.21 1.33 3.26 2.40 1.45 1.22 4.90 24.01 0.11 0.76 72.80 76 61.10 1 0 0.21 1.33 477 6.17 8.01 74.38
"Zimbabwe" 17.14 545.12 2.90 6.30 5.09 2.55 1.81 1.27 5.50 30.25 NA NA 63.90 NA 69.10 1 1 2.90 3.93 578 6.36 NA NA
"Malawi" 13.76 0.00 2.69 0.00 0.92 0.81 0.65 0.60 6.50 42.25 0.10 0.34 89.10 34 50.60 0 0 2.69 0.00 46 3.83 8.91 55.04
"South Africa" 3.16 25.38 1.43 3.27 3.12 3.45 1.41 1.49 4.50 20.25 0.46 0.70 30.90 70 62.00 1 1 1.43 3.27 2939 7.99 14.21 46.51
"Lesotho" 14.38 0.00 2.73 0.00 4.79 1.74 1.76 1.01 4.60 21.16 0.21 0.36 89.70 36 NA 1 0 2.73 0.00 NA NA 18.84 56.83
"Botswana" 0.00 1.45 0.00 0.89 0.00 4.34 0.00 1.68 2.70 7.29 NA 0.47 86.70 47 NA 1 0 0.00 0.89 NA NA NA 63.83
"Madagascar" 5.77 17.83 1.91 2.94 0.72 0.25 0.54 0.22 4.70 22.09 NA NA 89.40 NA NA 1 1 1.91 2.94 65 4.17 NA NA
"Mauritius" 31.55 0.00 3.48 0.00 4.85 2.22 1.77 1.17 2.50 6.25 NA NA 34.00 NA NA 0 0 3.48 0.00 170 5.14 NA NA
"Morocco" 0.53 0.06 0.42 0.06 1.98 0.63 1.09 0.49 4.90 24.01 NA NA 56.90 NA NA 1 0 0.42 0.06 205 5.32 NA NA
"Algeria" 0.00 0.12 0.00 0.11 0.70 0.12 0.53 0.11 6.10 37.21 0.00 0.65 60.70 65 NA 0 1 0.00 0.11 460 6.13 0.00 62.81
"Tunisia" 0.19 0.00 0.18 0.00 0.97 1.22 0.68 0.80 5.50 30.25 NA NA 49.80 NA 55.00 1 0 0.18 0.00 257 5.55 NA NA
"Libya" 1.55 4.43 0.94 1.69 12.38 6.21 2.59 1.98 6.70 44.89 NA 0.70 32.00 70 NA 0 0 0.94 1.69 578 6.36 NA 47.33
"Sudan" 98.18 33.67 4.60 3.55 2.68 1.04 1.30 0.71 6.00 36.00 NA NA 82.00 NA 49.80 0 1 3.93 3.55 119 4.78 NA NA
"Iran" 0.42 1.49 0.35 0.91 0.42 0.39 0.35 0.33 5.70 32.49 NA 0.63 46.00 63 NA 0 1 0.35 0.91 955 6.86 NA 53.83
"Turkey" 1.45 2.96 0.90 1.38 1.45 1.00 0.90 0.69 2.80 7.84 0.36 0.59 67.70 59 56.50 1 0 0.90 1.38 480 6.17 24.37 63.20
"Iraq" 35.59 56.38 3.60 4.05 5.02 1.45 1.80 0.89 7.00 49.00 0.43 0.61 46.60 61 NA 0 1 3.60 3.93 622 6.43 20.04 53.32
"Egypt" 2.16 1.73 1.15 1.00 1.65 1.15 0.97 0.76 5.30 28.09 0.30 0.67 54.40 67 48.00 1 0 1.15 1.00 265 5.58 16.32 60.37
"Syria" 0.32 11.71 0.28 2.54 3.20 2.48 1.44 1.25 6.60 43.56 NA 0.67 51.10 67 NA 0 0 0.28 2.54 456 6.12 NA 58.51
"Lebanon" 84.65 21086.09 4.45 9.96 18.23 20.91 2.96 3.09 2.80 7.84 NA 0.77 19.70 77 NA 1 1 3.93 3.93 810 6.70 NA 38.95
"Jordan" 911.84 2.98 6.82 1.38 19.74 2.23 3.03 1.17 6.00 36.00 0.62 NA 33.80 NA NA 0 1 3.93 1.38 298 5.70 20.96 NA
"Israel" 8.45 2.93 2.25 1.37 10.48 6.73 2.44 2.05 2.50 6.25 NA 0.75 9.70 75 NA 0 0 2.25 1.37 2485 7.82 NA 26.97
"Saudi Arabia" 0.00 0.11 0.00 0.11 0.78 0.00 0.57 0.00 6.00 36.00 0.26 0.78 66.00 78 NA 0 0 0.00 0.11 808 6.69 17.16 71.75
"Peoples Dem. Rep. of Yemen" 693.60 0.75 6.54 0.56 1.91 1.35 1.07 0.85 4.80 23.04 NA NA 79.30 NA NA 1 0 3.93 0.56 12 2.48 NA NA
"Arab Rep. Yemen" 641.36 0.00 6.47 0.00 13.93 3.01 2.70 1.39 7.00 49.00 NA NA 64.70 NA NA 0 0 3.93 0.00 453 6.12 NA NA
"Kuwait" 1.32 0.00 0.84 0.00 13.16 9.22 2.65 2.32 4.00 16.00 NA 0.75 1.80 75 NA 1 0 0.84 0.00 13171 9.49 NA 11.62
"Afghanistan" 0.00 2.33 0.00 1.20 0.18 0.52 0.16 0.42 6.10 37.21 NA NA 81.70 NA NA 0 1 0.00 1.20 29 3.37 NA NA
"China" 0.94 0.01 0.66 0.01 0.08 0.01 0.08 0.01 7.00 49.00 NA NA 67.80 NA NA 0 0 0.66 0.01 507 6.23 NA NA
"Mongolia" 0.00 0.00 0.00 0.00 0.80 0.00 0.59 0.00 7.00 49.00 NA NA 61.80 NA NA 0 0 0.00 0.00 873 6.77 NA NA
"Taiwan" 0.14 0.06 0.13 0.06 1.71 0.36 1.00 0.31 5.40 29.16 0.15 0.46 33.00 46 39.20 1 0 0.13 0.06 NA NA 4.95 38.96
"Hong Kong" 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 NA NA NA NA NA 0 0 NA NA 1015 6.92 NA NA
"North Korea" 0.43 0.00 0.36 0.00 0.50 0.00 0.41 0.00 7.00 49.00 NA NA 54.70 NA NA 0 0 0.36 0.00 2027 7.61 NA NA
"South Korea" 4.24 0.29 1.66 0.25 1.47 2.65 0.90 1.30 5.30 28.09 0.20 0.31 51.00 31 44.40 1 0 1.66 0.25 811 6.70 10.20 39.76
"Japan" 0.20 0.10 0.18 0.09 0.40 0.12 0.34 0.11 1.50 2.25 0.07 0.42 19.70 42 41.00 0 0 0.18 0.09 3186 8.07 1.38 28.76
"India" 3.99 0.47 1.61 0.39 0.24 0.22 0.22 0.19 3.00 9.00 0.55 0.62 69.30 62 51.30 1 0 1.61 0.39 178 5.18 38.12 65.55
"Pakistan" 5086.17 15.92 8.53 2.83 3.09 0.41 1.41 0.34 4.30 18.49 0.55 0.51 58.90 51 41.50 1 1 NA 2.83 201 5.30 32.40 54.81
"Bangladesh" NA NA NA NA NA NA NA NA 0.00 0.00 NA NA 85.90 NA NA 1 0 NA 1.62 NA NA NA NA
"Burma" 14.70 32.33 2.75 3.51 0.36 0.48 0.31 0.39 6.00 36.00 NA NA 59.60 NA NA 0 1 2.75 3.51 56 4.03 NA NA
"Sri Lanka" 407.30 10.51 6.01 2.44 2.72 1.43 1.31 0.89 2.60 6.76 NA 0.67 55.10 67 43.40 1 0 3.93 2.44 149 5.00 NA 60.76
"Maldives" 0.00 0.00 0.00 0.00 0.00 8.33 0.00 2.23 3.10 9.61 NA NA NA NA NA 1 0 0.00 0.00 NA NA NA NA
"Nepal" 3.21 1.59 1.44 0.95 0.71 0.64 0.54 0.49 5.50 30.25 NA 0.56 93.90 56 59.20 1 0 1.44 0.95 14 2.64 NA 72.51
"Thailand" 12.73 20.91 2.62 3.09 0.59 0.86 0.46 0.62 4.60 21.16 0.25 0.46 79.90 46 49.80 1 1 2.62 3.09 246 5.51 19.98 60.63
"Kampuchea" 5349.72 2233.66 8.58 7.71 6.23 5.55 1.98 1.88 6.20 38.44 NA NA 78.20 NA NA 0 0 3.93 3.93 47 3.85 NA NA
"Laos" 6816.68 30.58 8.83 3.45 5.74 5.45 1.91 1.86 5.60 31.36 NA NA 78.80 NA NA 0 0 3.93 3.45 91 4.51 NA NA
"North Vietnam" 0.00 0.00 0.00 0.00 0.14 0.00 0.13 0.00 7.00 49.00 NA NA NA NA NA 0 0 0.00 0.00 158 5.06 NA NA
"South Vietnam" 60420.08 14215.42 11.01 9.56 5.78 2.14 1.91 1.14 5.50 30.25 NA 0.59 81.00 59 NA 1 0 3.93 NA 302 5.71 NA 69.13
"Malaysia" 27.80 3.06 3.36 1.40 2.68 0.74 1.30 0.56 3.00 9.00 0.22 0.47 55.50 47 56.40 1 0 3.36 1.40 472 6.16 12.21 51.07
"Singapore" 0.00 0.00 0.00 0.00 5.78 5.78 1.91 1.91 5.00 25.00 NA 0.30 3.40 30 NA 1 0 0.00 0.00 810 6.70 NA 10.10
"Philipines" 16.46 72.82 2.86 4.30 2.10 1.17 1.13 0.77 5.00 25.00 0.67 0.51 53.20 51 54.00 1 1 2.86 3.93 286 5.66 35.64 52.09
"Indonesia" 0.21 0.07 0.19 0.07 0.24 0.10 0.22 0.10 5.00 25.00 0.34 0.56 66.30 56 50.70 1 1 0.19 0.07 111 4.71 22.54 60.93
"Australia" 0.00 0.00 0.00 0.00 0.88 0.58 0.63 0.46 1.00 1.00 0.40 0.82 8.10 82 43.00 0 0 0.00 0.00 5357 8.59 3.24 25.77
"Papua New Guinea" 1.66 1.10 0.98 0.74 0.00 0.37 0.00 0.31 0.00 0.00 NA NA 86.00 NA NA 0 0 NA NA 137 4.92 NA NA
"New Zealand" 0.00 0.00 0.00 0.00 0.00 1.32 0.00 0.84 1.00 1.00 0.40 0.73 11.90 73 41.40 0 0 0.00 0.00 2826 7.95 4.76 29.47
